广东频道,#genre#
湖南经视,http://175.9.193.128:4502/rtp/239.76.252.116:9000$1920x1080
湖南经视,http://220.168.240.238:9999/rtp/239.76.252.116:9000$1920x1080
湖南经视,http://phonews.qing.mgtv.com/nn_live/nn_x64/dWlwPTEwMy43MS43MC4xMDMmcWlkPSZzPWQ0NDYyYjM2OTQwMzRiNjJlNDI3ZmE0NzUwMGRkYzM1JmVzPTE3MjMyNjQyMTQmdXVpZD1lNGM1MTc4ZjBkNzFjMjVmNTZlNDBhOWM3MmMxNDE4ZS02NzQ3NDY2NyZ2PTImYXM9MCZjZG5leF9pZD13c19waG9uZTM%2C/HNJSMPP360.m3u8
湖南经视,http://116.128.242.83:9901/tsfile/live/0131_1.m3u8?key=txiptv&playlive=1&authid=0
湖南都市,http://220.168.240.238:9999/rtp/239.76.252.117:9000$1920x1080
湖南都市,http://116.128.242.83:9901/tsfile/live/0139_1.m3u8?key=txiptv&playlive=1&authid=0
湖北经视,http://27.16.160.149:3520/rtp/239.69.1.41:9886$1920x1080
湖北经视,http://119.98.133.138:4000/rtp/239.69.1.41:9886$1920x1080
湖北经视,http://119.98.99.124:5555/rtp/239.69.1.41:9886$1920x1080
湖北经视,http://119.98.133.99:4022/rtp/239.69.1.41:9886$1920x1080
湖北经视,http://119.98.37.126:8888/rtp/239.69.1.41:9886$1920x1080
湖北经视,http://111.175.166.209:8686/rtp/239.69.1.41:9886$1920x1080
湖北经视,http://58.48.200.208:12312/rtp/239.69.1.41:9886$1920x1080
湖北经视,http://122.191.206.188:888/rtp/228.0.0.125:6108$1920x1080
央视频道,#genre#
CCTV-5,http://111.165.2.160:4022/rtp/225.1.1.160:5002$1920x1080
CCTV-5,http://125.37.162.223:4022/rtp/225.1.1.160:5002$1920x1080
CCTV-5,http://61.240.38.128:8084/rtp/226.0.2.209:9584$1920x1080
CCTV-5,http://27.11.61.189:8002/rtp/225.0.4.143:7980$1920x1080
CCTV-5,http://61.55.13.136:4000/rtp/239.253.92.181:6046$1920x1080
CCTV-5,http://60.7.56.33:4000/rtp/239.253.92.181:6046$1920x1080
CCTV-5,http://171.117.125.2:8083/rtp/226.0.2.209:9584$1920x1080
CCTV-5,http://125.109.62.72:9999/rtp/233.50.201.197:5140$1920x1080
CCTV-5+,http://111.165.2.160:4022/rtp/225.1.1.121:5002$1920x1080
CCTV-5+,http://123.122.163.183:19999/rtp/239.3.1.130:8004$1920x1080
CCTV-5+,http://60.164.128.167:8029/rtp/239.255.30.184:8231$1920x1080
CCTV-5+,http://221.205.202.8:8082/rtp/226.0.2.168:9256$1920x1080
CCTV-5+,http://110.177.146.171:888/rtp/239.1.1.12:8012$1920x1080
CCTV-5+,http://1.70.34.16:8082/rtp/239.1.1.12:8012$1920x1080
CCTV-5+,http://27.11.63.14:8002/rtp/225.0.4.73:7980$1920x1080
CCTV-5+,http://61.55.13.136:4000/rtp/239.253.92.82:8013$1920x1080
卫视频道,#genre#
东方卫视,http://101.27.106.176:8888/rtp/239.253.92.89:8019$1920x1080
东方卫视,http://42.92.117.243:8888/rtp/239.255.30.130:8231$1920x1080
东方卫视,http://60.26.2.242:7000/rtp/225.1.2.31:5002$1920x1080
东方卫视,http://122.224.232.218:8888/rtp/233.50.201.125:5140$1920x1080
东方卫视,http://61.55.13.136:4000/rtp/239.253.92.89:8019$1920x1080
东方卫视,http://111.165.2.160:4022/rtp/225.1.2.31:5002$1920x1080
东方卫视,http://211.158.99.249:8001/rtp/225.0.4.80:7980$1920x1080
东方卫视,http://123.144.226.61:8002/rtp/225.0.4.80:7980$1920x1080
港·澳·台,#genre#
凤凰中文,http://42.92.117.243:8888/rtp/239.255.30.50:8231
凤凰中文,http://60.164.128.167:8029/rtp/239.255.30.50:8231
凤凰中文,http://115.193.154.62:9999/rtp/233.50.200.191:5140
凤凰中文,http://171.213.130.195:8086/rtp/239.93.1.9:2192
凤凰中文,http://171.213.128.195:3333/rtp/239.93.1.9:2192
凤凰中文,http://122.234.254.49:4000/rtp/233.50.200.191:5140
凤凰中文,http://123.97.140.100:9999/rtp/233.50.200.191:5140
凤凰中文,http://115.201.88.156:9999/rtp/233.50.200.191:5140
凤凰资讯,http://42.92.117.243:8888/rtp/239.255.30.70:8231
凤凰资讯,http://60.164.128.167:8029/rtp/239.255.30.70:8231
凤凰资讯,http://115.193.154.62:9999/rtp/233.50.200.192:5140
凤凰资讯,http://171.213.130.195:8086/rtp/239.93.1.4:2191
凤凰资讯,http://171.213.128.195:3333/rtp/239.93.1.4:2191
凤凰资讯,http://122.234.254.49:4000/rtp/233.50.200.192:5140
凤凰资讯,http://123.97.140.100:9999/rtp/233.50.200.192:5140
凤凰资讯,http://115.201.88.156:9999/rtp/233.50.200.192:5140
电影频道,#genre#
CHC动作电影,http://60.220.167.223:8084/rtp/226.0.2.94:8012$1920x1080
CHC动作电影,http://60.220.167.223:8083/rtp/226.0.2.94:8012$1920x1080
CHC动作电影,http://171.122.154.209:8084/rtp/226.0.2.94:8012$1920x1080
CHC动作电影,http://118.81.167.252:8083/rtp/226.0.2.94:8012$1920x1080
CHC动作电影,http://61.240.38.128:8084/rtp/226.0.2.94:8012
CHC动作电影,http://60.26.2.242:7000/rtp/225.1.1.215:5002
CHC动作电影,http://111.165.2.160:4022/rtp/225.1.1.215:5002
CHC动作电影,http://221.205.202.8:8082/rtp/226.0.2.94:8012
CHC家庭影院,http://60.220.167.223:8084/rtp/226.0.2.240:9820$1920x1080
CHC家庭影院,http://60.220.167.223:8083/rtp/226.0.2.240:9820$1920x1080
